URL,Price,Description,Product Name
https://www.liveyoursport.com/products/nike-womens-pro-printed-arm-sleeves,"Rs 4,236.45"," , , For a bold look that sports your style while you're working your hardest, wear the Nike® Pro Printed Arm Sleeves. While the elastic band and thumbholes provide a secure, customized fit, the Dri-FIT® material offers moisture-wicking technology, keeping you cool and dry while you're heating it up. With the hidden pocket on inside left sleeve and the bold all-over print, you're set to strive to be your best. , , ,FEATURES:, , ,Women's printed arm sleeves, ,Dri-FIT® fabric keeps you cool and comfortable while you're heating up your workout, ,Elastic band offers a secure fit so you can concentrate on your session, ,Thumbholes provide additional security and fit , ,Hidden pocket on the inside left sleeve allows for essential item storage, ,Heat transferred Swoosh logo at bottom of sleeve, ,Sold as a pair, ,Fabric: 40% polyester / 20% spandex / 20% nylon / 20% rubber, ,Style: NRSB3, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 57499326, ",Nike Women'S Pro Printed Arm Sleeves*
https://www.liveyoursport.com/products/under-armour-womens-graphic-knit-headband,"Rs 3,575.81"," , , For an athletic look, complete your outfit with the Under Armour® Women's Graphic Knit Headband. Constructed out of an ultra-soft jacquard fabric, this accessory delivers comfort and breathability to help you find your best performance. A knit lining traps heat to keep you warm and cozy, while an oversized UA graphic delivers the style you want. Take your training routine to the next level in the UA Graphic Knit Headband. , , ,FEATURES:, , ,Knit headband, ,Super soft jacquard fabrication provides unbeatable comfort and breathability, ,Knit lining traps additional heat to keep you warm, ,Oversized UA graphic maximizes style for the athletic look you want, ,One size fits most, ,Fabric: acrylic / nylon / elastane / polyester, ,Style: 1260555, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 67706036, ",Under Armour Women'S Graphic Knit Headband*
https://www.liveyoursport.com/products/nike-womens-fury-headband,"Rs 2,999.29"," , , The Nike® Women's Fury Headband is functional and stylish for your gym look. Its wide construction is made of Dri-FIT® fabric that absorbs moisture and dries quickly as you work out. Silicone dots along the inside of this headband help hold your hair back and in place for stay-put performance, so you won't have to worry about distractions. This Nike® Fury Headband has a can't-miss Swoosh™ logo for athletic style. , , ,FEATURES:, , ,Nike® thick headband, ,Dri-FIT® fabric to wick sweat away and help keep you dry and comfortable, ,Added silicone holds hair in place for secure fit, ,Sublimated Swoosh logo, ,Total relaxed opening 44cm, ,Sold as single, ,Fabric: 88% Polyester / 12% Spandex, ,Style: NJN69, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 35049156, ",Nike Women'S Fury Headband*
https://www.liveyoursport.com/products/nike-womens-graphic-headbands-6-pack,"Rs 2,999.29"," , , The Nike® Women's Graphic Headbands are exploding with color and style to keep your adrenaline pumping. These elastic headbands feature silicone grips on the inside so you never have to worry about the band slipping. The perfect addition to your workout gear, a Nike® Swoosh™ design solidifies your athletic look. Sold in a set of six, you'll always have a Nike® Graphic Headband ready to go. , , ,FEATURES:, , ,Graphic headbands sold in a pack of six, ,Silicone gripper holds hair in place for ease and comfort, ,Elastic band makes for a customized fit, ,Swoosh™ design logo for athletic style, ,Total relaxed opening 44cm, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 30765076, ",Nike Women'S Graphic Headbands - 6 Pack*
https://www.liveyoursport.com/products/under-armour-womens-lurex-wide-headband,"Rs 2,276.00"," , , The Under Armour® Women's Lurex Wide Headband maximizes your fitness routine with style and comfort. Soft elastic material fits perfectly around your head for comfort, and silicone strips grip underneath to hold the band in place. Moisture-wicking properties provide breathability and sweat-free performance, while metallic threading and UA logo deliver sophisticated, athletic style. Keep your look in check with the UA Lurex Wide Headband. , , ,FEATURES:, , ,Wide elastic headband, ,Stretchy elastic fabric offers an ultra-soft feel, ,Grippy silicone strips underneath secure band and hair in place, ,Moisture-wicking technology dries fabric fast and eliminates lingering sweat, ,Lurex metallic threads add shine and visibility, ,UA front center logo, ,1'' width, ,Fabric: 100% Lurex, ,Style: 1277638, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 80499416, ",Under Armour Women'S Lurex Wide Headband*
https://www.liveyoursport.com/products/under-armour-performance-headband-2,"Rs 2,338.65"," , , Keeping athletes cool and dry for over a decade, the Under Armour® Performance Headband is crafted with patented moisture-wicking HeatGear® fabric and a classic, comfortable headband construction. Use it to keep your hair out of your face or to absorb moisture, this Under Armour® Performance Headband makes a statement. The Under Armour® logo on the front gives this headband UA's signature look. , , ,FEATURESl:, , ,Length: 2"", ,Traditional headband constructed in multi channel performance fibers, ,HeatGear® fabric wicks moisture away from your head keeping you cool and dry, ,Embroidered UA logo on front, ,Men's one size fits all, ,Sold individually, ,Style: 1218001, ,Under Armour , , , ,Country of Origin: Vietnam, ,Web ID: 11314922, ","Under Armour Performance Headband - 2""*"
https://www.liveyoursport.com/products/under-armour-girls-printed-mini-headbands-4-pack,"Rs 2,531.00"," , , Watch her train like a champion in the Under Armour® Girls' Printed Mini Headband. With super-soft fabrication to offer serious comfort and grippy silicone logos for a fit that holds in place, this accessory is designed help her find her ultimate performance. Moisture-wicking properties prevent the build-up of moisture to keep her feeling light and dry. For a bold look and cool style, dress her for success in the UA Printed Mini Headband. , , ,FEATURES:, , ,Elastic mini headbands, ,Incredibly soft fabrication provides superior comfort for unbeatable performance, ,Moisture-wicking fabric wicks sweat away to keep her cool and dry, ,Gripping silicone UA logos provide a secure fit that stays in place, ,4 mini headbands per pack for style versatility, ,Style: 1261478, ,Under Armour, , , ,Country of Origin: Vietnam, ,Web ID: 67512476, ",Under Armour Girls' Printed Mini Headbands - 4 Pack*
https://www.liveyoursport.com/products/calia-by-carrie-underwood-printed-knit-headband,"Rs 2,999.29"," , , During class and after, the CALIA™ by Carrie Underwood Printed Knit Headband looks great and keeps your hair out of the way. Constructed from ultra-soft knit fabric, this wide fitness headband sits comfortably and stays put when you're active. Prevent distractions from fly-aways and moisture during your workout with this CALIA™ printed headband. , , ,FEATURES:, , ,Printed knit headband, ,Ultra-soft, feminine fabric ensures a comfortable fit, ,Woven logo tag at back headband, ,Care instructions: hand wash cold; non-chlorine bleach when needed; line dry; cool iron if needed, ,Fabric: 100% polyester, ,Style: CAC1007, ,CALIA by Carrie Underwood, , , ,Country of Origin: China, ,Web ID: 56532106, ",Calia By Carrie Underwood Printed Knit Headband*
https://www.liveyoursport.com/products/under-armour-womens-studiolux-headband,"Rs 3,904.07"," , , Stay warm from head-to-toe with the Under Armour® Women's StudioLux® Headband. Whether you're staying cozy during outdoor exercise or keeping comfortable in the studio, this knit band keeps your hair intact and your head warm. The overlap design adds style and coverage, while the small metal logo adds athletic flair to your outfit. With comfy fabrics and performance to match, you'll sport this UA headband everywhere this season. , , ,FEATURES:, , ,Knit overlap headband, ,Cozy look and feel for all-day comfort, ,Small metal trim logo on the side, ,Fabric: 100% acrylic, ,Style: 124849 , ,Under Armour, , , ,Country of Origin: China, ,Web ID: 35049496, ",Under Armour Women'S Studiolux Headband*
https://www.liveyoursport.com/products/under-armour-womens-layered-up-reversible-headband,"Rs 4,214.00"," , , The Under Armour® Women's Layered Up Reversible Headband combines style and quality to help you dial up your workout. Dual-layer ColdGear® fabric traps heat and dries quickly to provide the superior warmth and comfort you need to train without distraction. Reflective logos enhance your visibility, while a two-in-one design allows you to switch up your look as you go. Maximize your training with the UA Layered Up Reversible Headband. , , ,FEATURES:, , ,Reversible 2-in-1 headband, ,Lightweight ColdGear® fabrication keeps you warm without weighing you down, ,Solid color on one side and print on the other for ultimate style versatility, ,Reflective front logo increases your visibility in low-light situations, ,One size fits most, ,Fabric: polyester / elastane, ,Style: 1260561, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 67706046, ",Under Armour Women'S Layered Up Reversible Headband*
