URL,Price,Description,Product Name
https://www.liveyoursport.com/products/under-armour-womens-tie-headband,"Rs 2,922.00"," , , For a head to toe athletic look, add the Under Armour® Women's Tie Headband to your workout wardrobe. Designed with an incredibly lightweight material, this headband delivers all-day comfort and performance. Moisture-wicking properties deliver breathability and dryness, while anti-odor technology keeps your gear fresher, longer. Finished with an adjustable knot closure, the UA Tie Headband delivers the fit and feel you need to succeed. , , ,FEATURES:, , ,Adjustable tie headband, ,Lightweight fabrication delivers ultimate breathability and comfort, ,Signature Moisture Transport System wicks sweat away to keep you light and dry, ,Antimicrobial technology prevents the growth of odor causing microbes, ,Tie closure delivers a classic look and a snug, adjustable fit, ,One size fits most, ,Fabric: polyester / elastane, ,Style: 1265519, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 79165996, ",Under Armour Women'S Tie Headband*
https://www.liveyoursport.com/products/calia-by-carrie-underwood-printed-knit-headband,"Rs 2,999.29"," , , During class and after, the CALIA™ by Carrie Underwood Printed Knit Headband looks great and keeps your hair out of the way. Constructed from ultra-soft knit fabric, this wide fitness headband sits comfortably and stays put when you're active. Prevent distractions from fly-aways and moisture during your workout with this CALIA™ printed headband. , , ,FEATURES:, , ,Printed knit headband, ,Ultra-soft, feminine fabric ensures a comfortable fit, ,Woven logo tag at back headband, ,Care instructions: hand wash cold; non-chlorine bleach when needed; line dry; cool iron if needed, ,Fabric: 100% polyester, ,Style: CAC1007, ,CALIA by Carrie Underwood, , , ,Country of Origin: China, ,Web ID: 56532106, ",Calia By Carrie Underwood Printed Knit Headband*
https://www.liveyoursport.com/products/nike-womens-graphic-headbands-6-pack,"Rs 2,999.29"," , , The Nike® Women's Graphic Headbands are exploding with color and style to keep your adrenaline pumping. These elastic headbands feature silicone grips on the inside so you never have to worry about the band slipping. The perfect addition to your workout gear, a Nike® Swoosh™ design solidifies your athletic look. Sold in a set of six, you'll always have a Nike® Graphic Headband ready to go. , , ,FEATURES:, , ,Graphic headbands sold in a pack of six, ,Silicone gripper holds hair in place for ease and comfort, ,Elastic band makes for a customized fit, ,Swoosh™ design logo for athletic style, ,Total relaxed opening 44cm, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 30765076, ",Nike Women'S Graphic Headbands - 6 Pack*
https://www.liveyoursport.com/products/nike-womens-fury-headband,"Rs 2,999.29"," , , The Nike® Women's Fury Headband is functional and stylish for your gym look. Its wide construction is made of Dri-FIT® fabric that absorbs moisture and dries quickly as you work out. Silicone dots along the inside of this headband help hold your hair back and in place for stay-put performance, so you won't have to worry about distractions. This Nike® Fury Headband has a can't-miss Swoosh™ logo for athletic style. , , ,FEATURES:, , ,Nike® thick headband, ,Dri-FIT® fabric to wick sweat away and help keep you dry and comfortable, ,Added silicone holds hair in place for secure fit, ,Sublimated Swoosh logo, ,Total relaxed opening 44cm, ,Sold as single, ,Fabric: 88% Polyester / 12% Spandex, ,Style: NJN69, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 35049156, ",Nike Women'S Fury Headband*
https://www.liveyoursport.com/products/under-armour-performance-headband-2,"Rs 2,338.65"," , , Keeping athletes cool and dry for over a decade, the Under Armour® Performance Headband is crafted with patented moisture-wicking HeatGear® fabric and a classic, comfortable headband construction. Use it to keep your hair out of your face or to absorb moisture, this Under Armour® Performance Headband makes a statement. The Under Armour® logo on the front gives this headband UA's signature look. , , ,FEATURESl:, , ,Length: 2"", ,Traditional headband constructed in multi channel performance fibers, ,HeatGear® fabric wicks moisture away from your head keeping you cool and dry, ,Embroidered UA logo on front, ,Men's one size fits all, ,Sold individually, ,Style: 1218001, ,Under Armour , , , ,Country of Origin: Vietnam, ,Web ID: 11314922, ","Under Armour Performance Headband - 2""*"
https://www.liveyoursport.com/products/under-armour-womens-graphic-knit-headband,"Rs 3,575.81"," , , For an athletic look, complete your outfit with the Under Armour® Women's Graphic Knit Headband. Constructed out of an ultra-soft jacquard fabric, this accessory delivers comfort and breathability to help you find your best performance. A knit lining traps heat to keep you warm and cozy, while an oversized UA graphic delivers the style you want. Take your training routine to the next level in the UA Graphic Knit Headband. , , ,FEATURES:, , ,Knit headband, ,Super soft jacquard fabrication provides unbeatable comfort and breathability, ,Knit lining traps additional heat to keep you warm, ,Oversized UA graphic maximizes style for the athletic look you want, ,One size fits most, ,Fabric: acrylic / nylon / elastane / polyester, ,Style: 1260555, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 67706036, ",Under Armour Women'S Graphic Knit Headband*
https://www.liveyoursport.com/products/under-armour-womens-perfect-headband,"Rs 2,922.00"," , , The UA Women's Perfect Headband moves hair and moisture away from your face so you can focus on your fitness. Silicone strip grips keep your favorite training accessory in place, and seamless construction allows for a comfortable fit so you can outperform your opponent. Distinctive tuck detailing lets you fashionably accessorize from the gym to the studio when you sport this Under Armour® headband. , , ,FEATURES:, , ,Training headband, ,Seamless construction delivers superior performance, ,Silicone grip strips allow for a secure fit, ,Fashionable textured tuck detailing, ,UA logo on the front shows athletic style, ,One size fits most , ,Fabric: nylon/spandex, ,Style: 1240051, ,Under Armour, , , ,Country of Origin: United States, ,Web ID: 21848616, ",Under Armour Women'S Perfect Headband*
https://www.liveyoursport.com/products/nike-womens-fury-headband-2-0,"Rs 2,923.00"," , , Focus on your workout in style with the Nike® Fury Headband. Featuring Dri-FIT® fabric, this headband works to wick away moisture so you stay fresh and cool while you're heating it up at the gym. Silicone on the interior of the band offers a secure fit whether you're pumping it for one more set or running the extra mile. , , ,FEATURES:, , ,Women's elastic hairband, ,Dri-FIT® fabric wicks away moisture so you stay focused on your workout, ,Added interior silicone offers a secure fit to hold your hair back , ,Heat transferred Swoosh™ logo displays your athletic style, ,Total relaxed opening: 44 cm, ,One size fits most, ,Fabric: 88% polyester / 12% spandex, ,Style: NJND8, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 84421616, ",Nike Women'S Fury Headband 2.0*
https://www.liveyoursport.com/products/nike-womens-pro-printed-arm-sleeves,"Rs 4,236.45"," , , For a bold look that sports your style while you're working your hardest, wear the Nike® Pro Printed Arm Sleeves. While the elastic band and thumbholes provide a secure, customized fit, the Dri-FIT® material offers moisture-wicking technology, keeping you cool and dry while you're heating it up. With the hidden pocket on inside left sleeve and the bold all-over print, you're set to strive to be your best. , , ,FEATURES:, , ,Women's printed arm sleeves, ,Dri-FIT® fabric keeps you cool and comfortable while you're heating up your workout, ,Elastic band offers a secure fit so you can concentrate on your session, ,Thumbholes provide additional security and fit , ,Hidden pocket on the inside left sleeve allows for essential item storage, ,Heat transferred Swoosh logo at bottom of sleeve, ,Sold as a pair, ,Fabric: 40% polyester / 20% spandex / 20% nylon / 20% rubber, ,Style: NRSB3, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 57499326, ",Nike Women'S Pro Printed Arm Sleeves*
https://www.liveyoursport.com/products/nike-womens-central-headband,"Rs 2,923.00"," , , You're all about the run, so outfit yourself in style for the miles with the Nike® Central Headband. Featuring G87 material, this hairband works to wick away moisture so you stay cool and dry while you're training. Ruching detail looks and feels great, and the Nike® Swoosh on the side of the headband completes this ultimate athletic look, ideal for even your toughest workouts. , , ,FEATURES:, , ,Women's fashion headband, ,G87 fabric wicks away moisture for a cool, fresh experience, ,Wide design is on-trend and practical for keeping hair and sweat away from your face, ,Swoosh logo shows off your athletic style, ,Total relaxed opening: 44 cm, ,One size fits most, ,Fabric: 88% polyester / 12% spandex, ,Style: NJNB2, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 76005316, ",Nike Women'S Central Headband*
