URL,Price,Description,Product Name
https://www.liveyoursport.com/products/nike-womens-pro-printed-arm-sleeves,"Rs 4,236.45"," , , For a bold look that sports your style while you're working your hardest, wear the Nike® Pro Printed Arm Sleeves. While the elastic band and thumbholes provide a secure, customized fit, the Dri-FIT® material offers moisture-wicking technology, keeping you cool and dry while you're heating it up. With the hidden pocket on inside left sleeve and the bold all-over print, you're set to strive to be your best. , , ,FEATURES:, , ,Women's printed arm sleeves, ,Dri-FIT® fabric keeps you cool and comfortable while you're heating up your workout, ,Elastic band offers a secure fit so you can concentrate on your session, ,Thumbholes provide additional security and fit , ,Hidden pocket on the inside left sleeve allows for essential item storage, ,Heat transferred Swoosh logo at bottom of sleeve, ,Sold as a pair, ,Fabric: 40% polyester / 20% spandex / 20% nylon / 20% rubber, ,Style: NRSB3, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 57499326, ",Nike Women'S Pro Printed Arm Sleeves*
https://www.liveyoursport.com/products/under-armour-womens-perfect-headband,"Rs 2,922.00"," , , The UA Women's Perfect Headband moves hair and moisture away from your face so you can focus on your fitness. Silicone strip grips keep your favorite training accessory in place, and seamless construction allows for a comfortable fit so you can outperform your opponent. Distinctive tuck detailing lets you fashionably accessorize from the gym to the studio when you sport this Under Armour® headband. , , ,FEATURES:, , ,Training headband, ,Seamless construction delivers superior performance, ,Silicone grip strips allow for a secure fit, ,Fashionable textured tuck detailing, ,UA logo on the front shows athletic style, ,One size fits most , ,Fabric: nylon/spandex, ,Style: 1240051, ,Under Armour, , , ,Country of Origin: United States, ,Web ID: 21848616, ",Under Armour Women'S Perfect Headband*
https://www.liveyoursport.com/products/2xu-compression-leg-sleeves,"Rs 6,498.60"," , , Take your training to another level with support and power in the Compression Leg Sleeves. Made with PWX Power fabric - engineered to maximize power, weight and flexibility - these 2XU leg sleeves increase compression. With the highest power denier, you get support and pressure throughout your entire lower body while moisture wicking fabric keeps you cool in these leg sleeves that let you train in any condition with UPF50+ sun protection. , , ,FEATURES:, , ,PWX Power fabric increases compression, ,Graduated seamless design , ,Highest power denier adds support and pressure to hamstrings, quads, calves and shins, ,Graduated fit boosts circulation and speeds recovery, ,UPF50+ sun protection for outdoor training, ,Antibacterial fights odor and bacteria, ,Moisture wicking keeps you cool and dry, ,Style: UA1953B, ,2XU, , , ,SIZE CHART:, , , X Small = Calf Size: 13""-14.5"", Quadricep: 18""-19.75"" , ,Small = Calf Size: 13.75""-15.75"", Quadricep: 18.5""-21.5"", ,Medium = Calf Size: 15""-17"", Quadricep: 20.5""-23.5"", ,Large = Calf Size: 16""-18"", Quadricep: 21.5""-25"", ,X Large = Calf Size: 17.5""-19.5"", Quadricep: 23.75""-26"" , ,XX Large = Calf Size: 19""-21"", Quadricep: 25""-27.5"" , , , ,Country of Origin: Taiwan, ,Web ID: 20697476, ",2Xu Compression Leg Sleeves*
https://www.liveyoursport.com/products/under-armour-performance-headband-2,"Rs 2,338.65"," , , Keeping athletes cool and dry for over a decade, the Under Armour® Performance Headband is crafted with patented moisture-wicking HeatGear® fabric and a classic, comfortable headband construction. Use it to keep your hair out of your face or to absorb moisture, this Under Armour® Performance Headband makes a statement. The Under Armour® logo on the front gives this headband UA's signature look. , , ,FEATURESl:, , ,Length: 2"", ,Traditional headband constructed in multi channel performance fibers, ,HeatGear® fabric wicks moisture away from your head keeping you cool and dry, ,Embroidered UA logo on front, ,Men's one size fits all, ,Sold individually, ,Style: 1218001, ,Under Armour , , , ,Country of Origin: Vietnam, ,Web ID: 11314922, ","Under Armour Performance Headband - 2""*"
https://www.liveyoursport.com/products/under-armour-womens-graphic-knit-headband,"Rs 3,575.81"," , , For an athletic look, complete your outfit with the Under Armour® Women's Graphic Knit Headband. Constructed out of an ultra-soft jacquard fabric, this accessory delivers comfort and breathability to help you find your best performance. A knit lining traps heat to keep you warm and cozy, while an oversized UA graphic delivers the style you want. Take your training routine to the next level in the UA Graphic Knit Headband. , , ,FEATURES:, , ,Knit headband, ,Super soft jacquard fabrication provides unbeatable comfort and breathability, ,Knit lining traps additional heat to keep you warm, ,Oversized UA graphic maximizes style for the athletic look you want, ,One size fits most, ,Fabric: acrylic / nylon / elastane / polyester, ,Style: 1260555, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 67706036, ",Under Armour Women'S Graphic Knit Headband*
https://www.liveyoursport.com/products/nike-womens-fury-headband,"Rs 2,999.29"," , , The Nike® Women's Fury Headband is functional and stylish for your gym look. Its wide construction is made of Dri-FIT® fabric that absorbs moisture and dries quickly as you work out. Silicone dots along the inside of this headband help hold your hair back and in place for stay-put performance, so you won't have to worry about distractions. This Nike® Fury Headband has a can't-miss Swoosh™ logo for athletic style. , , ,FEATURES:, , ,Nike® thick headband, ,Dri-FIT® fabric to wick sweat away and help keep you dry and comfortable, ,Added silicone holds hair in place for secure fit, ,Sublimated Swoosh logo, ,Total relaxed opening 44cm, ,Sold as single, ,Fabric: 88% Polyester / 12% Spandex, ,Style: NJN69, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 35049156, ",Nike Women'S Fury Headband*
https://www.liveyoursport.com/products/calia-by-carrie-underwood-printed-knit-headband,"Rs 2,999.29"," , , During class and after, the CALIA™ by Carrie Underwood Printed Knit Headband looks great and keeps your hair out of the way. Constructed from ultra-soft knit fabric, this wide fitness headband sits comfortably and stays put when you're active. Prevent distractions from fly-aways and moisture during your workout with this CALIA™ printed headband. , , ,FEATURES:, , ,Printed knit headband, ,Ultra-soft, feminine fabric ensures a comfortable fit, ,Woven logo tag at back headband, ,Care instructions: hand wash cold; non-chlorine bleach when needed; line dry; cool iron if needed, ,Fabric: 100% polyester, ,Style: CAC1007, ,CALIA by Carrie Underwood, , , ,Country of Origin: China, ,Web ID: 56532106, ",Calia By Carrie Underwood Printed Knit Headband*
https://www.liveyoursport.com/products/under-armour-womens-tie-headband,"Rs 2,922.00"," , , For a head to toe athletic look, add the Under Armour® Women's Tie Headband to your workout wardrobe. Designed with an incredibly lightweight material, this headband delivers all-day comfort and performance. Moisture-wicking properties deliver breathability and dryness, while anti-odor technology keeps your gear fresher, longer. Finished with an adjustable knot closure, the UA Tie Headband delivers the fit and feel you need to succeed. , , ,FEATURES:, , ,Adjustable tie headband, ,Lightweight fabrication delivers ultimate breathability and comfort, ,Signature Moisture Transport System wicks sweat away to keep you light and dry, ,Antimicrobial technology prevents the growth of odor causing microbes, ,Tie closure delivers a classic look and a snug, adjustable fit, ,One size fits most, ,Fabric: polyester / elastane, ,Style: 1265519, ,Under Armour, , , ,Country of Origin: Imported, ,Web ID: 79165996, ",Under Armour Women'S Tie Headband*
https://www.liveyoursport.com/products/under-armour-womens-studiolux-headband,"Rs 3,904.07"," , , Stay warm from head-to-toe with the Under Armour® Women's StudioLux® Headband. Whether you're staying cozy during outdoor exercise or keeping comfortable in the studio, this knit band keeps your hair intact and your head warm. The overlap design adds style and coverage, while the small metal logo adds athletic flair to your outfit. With comfy fabrics and performance to match, you'll sport this UA headband everywhere this season. , , ,FEATURES:, , ,Knit overlap headband, ,Cozy look and feel for all-day comfort, ,Small metal trim logo on the side, ,Fabric: 100% acrylic, ,Style: 124849 , ,Under Armour, , , ,Country of Origin: China, ,Web ID: 35049496, ",Under Armour Women'S Studiolux Headband*
https://www.liveyoursport.com/products/nike-womens-fury-headband-2-0,"Rs 2,923.00"," , , Focus on your workout in style with the Nike® Fury Headband. Featuring Dri-FIT® fabric, this headband works to wick away moisture so you stay fresh and cool while you're heating it up at the gym. Silicone on the interior of the band offers a secure fit whether you're pumping it for one more set or running the extra mile. , , ,FEATURES:, , ,Women's elastic hairband, ,Dri-FIT® fabric wicks away moisture so you stay focused on your workout, ,Added interior silicone offers a secure fit to hold your hair back , ,Heat transferred Swoosh™ logo displays your athletic style, ,Total relaxed opening: 44 cm, ,One size fits most, ,Fabric: 88% polyester / 12% spandex, ,Style: NJND8, ,Nike, , , ,Country of Origin: Imported, ,Web ID: 84421616, ",Nike Women'S Fury Headband 2.0*
